image_name,shoulder_line_angle_deg,head_tilt_deg,head_to_shoulder_distance_px,head_to_shoulder_distance_ratio,shoulder_width_px,label
"75.jpg",0.8064243026703433,14.969968681829293,367.7392189638258,0.8304509792818406,442.8186950683594,bad
"76.jpg",1.4860297560525062,9.474618121379498,336.93945330894707,0.5441832137663433,619.1654663085938,bad
"77.jpg",-13.655256365683313,-19.171769044636832,153.6446188279832,0.33829185696049985,454.1777038574219,bad
"78.jpg",0.8851230981641314,0.40718581319856106,310.49213428655133,0.49492713648386033,627.3491821289062,bad
"79.jpg",1.1971239883000817,4.686282537884683,365.0809301278225,0.6035081100434765,604.9312744140625,bad
"8.jpg",-0.12644157562882533,6.785006258339921,156.99074669182647,0.6367783481587628,246.53907775878906,bad
"82.jpg",9.090460202484827,23.031520503453976,308.8840011866644,0.5576393422427319,553.91357421875,bad
"83.jpg",-3.8605062555598444,-9.6320856372784,119.39358820134971,0.5562170394396311,214.6528778076172,bad
"84.jpg",-2.1391349658526484,2.6363626330950343,407.36400531742953,0.6086387199919574,669.303466796875,bad
"85.jpg",-6.80559896432339,0.9663233296197341,383.13024591159336,0.6342460352350706,604.0719604492188,bad
"86.jpg",-0.597106354512036,1.6672389442459938,363.21849292974684,0.5387749396816344,674.15625,bad
"87.jpg",3.8512594714764994,4.198080971104988,308.2910967616598,0.6128513710290303,503.0438232421875,bad
"88.jpg",-1.4021630794284223,0.3134365116112166,360.51963607464995,0.5264764163534355,684.7783203125,bad
"89.jpg",-3.9693185506811104,-3.0508769681613286,289.5511045138579,0.5378315793575673,538.3676147460938,bad
"90.jpg",1.716102437402903,4.4478549369803355,369.8356704927375,0.5955315509172467,621.0177612304688,bad
"91.jpg",3.188320900551112,3.7969820702442987,228.7067757921984,0.6618225061507198,345.5711669921875,bad
"92.jpg",1.932322226617204,2.114465479175757,439.547481212739,0.5827300619786103,754.2900390625,bad
"93.jpg",3.375897700180185,4.254528183914676,215.9654054501418,0.5649610753130543,382.2659912109375,bad
"94.jpg",-2.471007239706416,-3.616016161771408,141.79119865902348,0.7126152469262799,198.97300720214844,bad
"95.jpg",5.513731403708409,15.102829531177324,267.7549361086817,0.5173893705657192,517.511474609375,bad
"96.jpg",,,,,,bad
"97.jpg",0.8360152521191848,0.014379750987838521,319.8447804015713,0.549271102482823,582.3076782226562,bad
"98.jpg",-0.8392546487406881,-2.698338839395546,338.69183935314095,0.5443883757606313,622.151123046875,bad
"99.jpg",-0.7608584351414499,-2.77026986717093,336.87240204674475,0.5720315003571873,588.9053344726562,bad
"1.jpg",0.05123615269305071,-2.1295818197940815,141.61187700498752,0.501458986527884,282.39971923828125,good
"10.jpg",3.635517888959452,7.189658289028989,220.63855980134602,0.5857324574025133,376.68829345703125,good
"15.jpg",-3.8866403261869964,3.0676966818855482,183.44102403945166,0.5809923886870763,315.7373962402344,good
"17.jpg",-160.59347947901134,-23.092518717049206,79.4539920117919,0.5282877586309367,150.39907836914062,good
"18.jpg",-10.95192346170605,-18.397101220842945,137.74578158744194,0.9000495964685393,153.0424346923828,good
"19.jpg",-2.3371290358261754,-10.257922769247354,191.67791068079632,0.560163167548693,342.1822814941406,good
"20.jpg",-6.078611901594156,-9.656210504810126,179.72922291794703,0.5112394641300754,351.55584716796875,good
"22.jpg",-4.384504386169804,9.183780649118688,166.92440813955534,0.5828160150158384,286.4101257324219,good
"23.jpg",,,,,,good
"32.jpg",9.47039126476221,0.3037114920254481,255.14570920915577,0.5710477402047832,446.8027648925781,good
"39.jpg",1.4648940079549515,4.474536862158686,192.74196578153328,0.5503842926918806,350.19525146484375,good
"4.jpg",,,,,,good
"40.jpg",-2.165689174085833,-0.3748210716320491,117.97926909288957,0.6407364712526396,184.13072204589844,good
"41.jpg",5.4923246516169595,6.010159020962888,252.5083043750024,0.7128339365310018,354.2315979003906,good
"43.jpg",-3.3723875542558495,-10.199582525323986,154.24053805014566,0.4762914135045869,323.83648681640625,good
"44.jpg",-5.006334535481349,0.43102572357658886,161.74684678268616,0.42497134718984153,380.6064758300781,good
"46.jpg",-2.596796800884216,2.226243014905795,156.00839107398684,0.45083515669728047,346.0430908203125,good
"47.jpg",,,,,,good
"48.jpg",-3.7154710219997056,-1.4902133088648088,154.83815947139334,0.6146012570009145,251.93270874023438,good
"49.jpg",-3.542211784164622,1.419964227173154,118.1539026756891,0.6865605621054218,172.0953826904297,good
"5.jpg",-1.051914651115559,1.3374446936028623,93.30086183164886,0.7024083672145236,132.82994079589844,good
"52.jpg",-2.4801087503537937,3.8638515244649017,99.24409889687611,0.5188475554489707,191.2779541015625,good
"53.jpg",-6.83513476284912,13.112593287769739,75.17116843223702,0.9516889199990506,78.98712158203125,good
"54.jpg",1.2191982098795864,7.073363058447793,102.33630773775113,0.5834744679950705,175.3912353515625,good
"62.jpg",0.6912863538111179,5.14827262138024,108.9199193832915,0.5929524163423057,183.69082641601562,good
"65.jpg",1.0794133741824736,0.1258591874748579,111.94150923894401,0.6443258483847704,173.73431396484375,good
"68.jpg",0.10759199785502208,5.986666960953409,162.17284130344936,0.56977025584718,284.62847900390625,good
"69.jpg",1.6671482678550935,6.369344920867792,119.81222337918095,0.5399148371373014,221.90948486328125,good
"70.jpg",0.11082510610370881,0.24281880482366067,130.60651665866067,0.5147744521401002,253.71600341796875,good
"72.jpg",0.47346494806492323,4.229427563842139,128.87228089995318,0.49197474848729916,261.948974609375,good
"76.jpg",1.7022968298667134,-3.2491080546728854,177.32941221640812,0.5955047174759247,297.780029296875,good
"77.jpg",4.434291668187201,-2.322817195426286,150.82144825510352,0.6929961397333181,217.63677978515625,good
"78.jpg",3.3213682706771617,-4.495071458686571,141.00040195042712,0.696484538201171,202.4458465576172,good
"79.jpg",-0.4219824137942817,-6.491988307016603,125.29103319768197,0.5761555374287108,217.46043395996094,good
"82.jpg",-1.25268481090415,-2.8988626975400167,147.9485196653794,0.6444709228174827,229.56585693359375,good
"83.jpg",-3.3924413525310353,-2.5665922020545953,139.3225014368103,0.5394105095662037,258.2865905761719,good
"84.jpg",-2.0204636643335045,-1.6048048852254424,137.9981133856315,0.5620746678979455,245.515625,good
"85.jpg",-1.6354663094542716,-1.515978722162752,128.49902601861467,0.6554588858714059,196.04437255859375,good
"86.jpg",5.875022505913744,8.64269507217975,115.09809245193716,0.5887701323468099,195.489013671875,good
"87.jpg",2.3402720711974747,3.8351282180469375,113.81830563491432,0.7416983458434412,153.45632934570312,good
"90.jpg",1.124054699176982,-1.136612830450666,353.14504221776,0.7037766944242803,501.78564453125,good
"13.jpg",-4.170253571689758,-4.0010521370630245,170.15867749097507,0.5310617916492905,320.4122009277344,bad
"16.jpg",-15.507343389021736,-3.2807785131174616,312.8383276134364,0.8856830739049761,353.2170104980469,bad
"2.jpg",-2.3383641623632956,-11.537950957061057,125.97092368468705,0.41526927638401623,303.3475646972656,bad
"21.jpg",,,,,,bad
"24.jpg",-9.207402278449027,-16.023412684552618,143.861123996784,0.5921634265193202,242.94158935546875,bad
"26.jpg",0.668403578474286,5.884896020242266,279.47109464911597,0.6093844887526946,458.6120910644531,bad
"27.jpg",-7.980164301959183,36.10827120049558,205.4145469186998,0.48249877375295946,425.730712890625,bad
"28.jpg",-0.10873410971133066,8.019387856195808,271.0566086379275,0.5476973973993517,494.9021301269531,bad
"29.jpg",-4.611811733229478,-3.6460240507081205,210.8196733309854,0.43020323740162786,490.04669189453125,bad
"3.jpg",-3.037825237299879,-1.5277540200001185,265.9839887379685,0.5112430384337655,520.2691650390625,bad
"31.jpg",5.155095822515429,10.946213307815597,200.15792125433435,0.5162426636094062,387.7206115722656,bad
"34.jpg",,,,,,bad
"35.jpg",-0.5058834686112371,-4.572207975835004,220.62101158763605,0.5019750967195438,439.5058898925781,bad
"36.jpg",1.9895982389004936,-0.43241531141105227,172.03260533964786,0.4594111015137371,374.46331787109375,bad
"37.jpg",-1.989963178094978,4.96189390721477,159.1604602984045,0.6084331796501785,261.5906982421875,bad
"45.jpg",5.2169808401373325,8.94683591264859,173.70137602698887,0.5648728812877911,307.5052490234375,bad
"51.jpg",,,,,,bad
"55.jpg",0.06694048001352243,-3.4130628112728107,46.505071090721216,0.5022979064140736,92.58464050292969,bad
"56.jpg",1.1097915040019621,0.5857525315719518,70.82394483251497,0.4851057031490414,145.99693298339844,bad
"58.jpg",-24.172881342341594,-11.197985084592213,76.95306425196236,0.8021954803961424,95.92807006835938,bad
"59.jpg",-21.279976607044492,-11.37915673320815,66.79615235960699,0.5291645189319798,126.22946166992188,bad
"6.jpg",-4.765911700284007,-3.0737185078283247,183.1447200711851,0.5622701276306933,325.7237243652344,bad
"61.jpg",5.528809160382921,2.883036715839277,87.76428272796261,0.5113518645345692,171.6318817138672,bad
"66.jpg",-2.398761728944428,-5.045121763165585,116.69344728040355,0.595476348653114,195.966552734375,bad
"67.jpg",-5.578369811458665,-18.002225608499796,77.32476402321649,0.4927170785018761,156.9354248046875,bad
"7.jpg",-2.0474842057405263,-3.0255344175757277,110.44754423153219,0.5782846182905491,190.99166870117188,bad
"74.jpg",2.8760485239556943,0.021726624038147763,90.5111033788524,0.3821061526235842,236.87423706054688,bad
"80.jpg",6.2270885859463485,4.057415649959357,128.31497653336254,0.5109180218243081,251.1459197998047,bad
"81.jpg",0.41998988374991103,-0.3204952060923259,112.77975800366012,0.6177375653865863,182.5690460205078,bad
"88.jpg",-1.62582791278348,0.2783162488772416,144.26388434301052,0.5648565797030379,255.39913940429688,bad
"89.jpg",0.5656188473391315,6.192969040750618,155.6894243947762,0.6276815729553307,248.0388641357422,bad
"9.jpg",-6.823536358824576,-13.31012986994302,194.92702031604134,0.6686553769546775,291.5209045410156,bad
